track_name,artist_names
Let Alone The One You Love,Olivia Dean
MIENTRAS DUERMES,Junior H
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande"
When I Was Your Man,Bruno Mars
"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
Stressed Out,Twenty One Pilots
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast"
Century,EsDeeKid
Too Sweet,Hozier
ocean eyes,Billie Eilish
Love Yourself,Justin Bieber
Unforgettable,"French Montana, Swae Lee"
Where Have You Been,Rihanna
lovely (with Khalid),"Billie Eilish, Khalid"
Summertime Sadness,Lana Del Rey
Promiscuous,"Nelly Furtado, Timbaland"
Beauty And A Beat,"Justin Bieber, Nicki Minaj"
Monolog,Pamungkas
