artist_names,track_name
"Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58/66"
"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma)
"21 Savage, Travis Scott, Metro Boomin",née-nah
"21 Savage, Doja Cat",n.h.i.e.
21 Savage,all of me
21 Savage,sneaky
"21 Savage, Young Thug, Metro Boomin",pop ur shit
"21 Savage, Lil Durk, Metro Boomin",dangerous
Flo Milli,Never Lose Me
"Mesita, Nicki Nicole, Tiago PZK, Emilia",Una Foto Remix (feat. Emilia)
Creepy Nuts,Bling-Bang-Bang-Born
"21 Savage, Brent Faiyaz",should've wore a bonnet
"21 Savage, Summer Walker",prove it
"Oscar Ortiz, Edgardo Nuñez",FIRST LOVE
Natasha Bedingfield,Unwritten
"21 Savage, Tommy Newport, Mikky Ekko",red sky
Lil Nas X,J CHRIST
James Arthur,Say You Won't Let Go
"21 Savage, Burna Boy, Metro Boomin",just like me
21 Savage,letter to my brudda
Richy Mitch & The Coal Miners,Evergreen
Benson Boone,Beautiful Things
David Kushner,Skin and Bones
"Kygo, Ava Max",Whatever
"Gaby Music, Lunay, Luar La L",No Te Quieren Conmigo
"Marvin Gaye, Tammi Terrell",Ain't No Mountain High Enough
"The Chainsmokers, Coldplay",Something Just Like This
Coldplay,Sparks
Coldplay,A Sky Full of Stars
Megan Thee Stallion,HISS
YG Marley,Praise Jah In The Moonlight
"Christian Nodal, Peso Pluma",La Intención
Ice Spice,Think U The Shit (Fart)
Justin Timberlake,Selfish
4batz,act ii: date @ 8
"Blessd, Feid",SI SABE FERXXO
Rich Amiri,ONE CALL
Milo j,M.A.I
"Calle 24, Chino Pacas",Apaga El Cel
"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine)
Don Toliver,BANDIT
Coldplay,The Scientist
Michael Marcagi,Scared To Start
Good Neighbours,Home
Benson Boone,In The Stars
Lana Del Rey,Young And Beautiful
Taylor Swift,Karma
"¥$, Kanye West, Ty Dolla $ign",CARNIVAL
"¥$, Kanye West, Ty Dolla $ign",FUK SUMN
"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna)
"¥$, Kanye West, Ty Dolla $ign",BURN
"¥$, Kanye West, Ty Dolla $ign",TALKING
"¥$, Kanye West, Ty Dolla $ign",BACK TO ME
"¥$, Kanye West, Ty Dolla $ign",STARS
Beyoncé,TEXAS HOLD 'EM
Mahmood,TUTA GOLD
"Geolier, Michelangelo","I P’ ME, TU P’ TE"
"¥$, Kanye West, Ty Dolla $ign",PAID
"¥$, Kanye West, Ty Dolla $ign",DO IT
"¥$, Kanye West, Ty Dolla $ign",KEYS TO MY LIFE
"¥$, Kanye West, Ty Dolla $ign",PAPERWORK
"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris)
"¥$, Kanye West, Ty Dolla $ign",VULTURES
"¥$, Kanye West, Ty Dolla $ign",BEG FORGIVENESS
Annalisa,Sinceramente
"Ivete Sangalo, LUDMILLA",Macetando
Angelina Mango,la noia
"¥$, Kanye West, Ty Dolla $ign",HOODRAT
Noah Kahan,Forever
"Parangolé, Léo Santana",Perna Bamba
"¥$, Kanye West, Ty Dolla $ign",PROBLEMATIC
"FloyyMenor, Cris MJ",Gata Only
Ghali,Casa Mia
Luke Combs,Fast Car
PEDRO SAMPAIO,POCPOC
"TWENTY SIX, Tayson Kryss",Buscando Money
Irama,Tu No
"USHER, Pitbull",DJ Got Us Fallin' In Love (feat. Pitbull)
"USHER, Alicia Keys",My Boo
Dua Lipa,Training Season
"KAROL G, Tiësto",CONTIGO (with Tiësto)
Djo,End of Beginning
"Trueno, Nicki Nicole, Bizarrap, Taiu, tatool",Mamichula - con Nicki Nicole
Yeat,Breathe
Julión Álvarez y su Norteño Banda,Regalo De Dios
Muni Long,Made For Me
"Junior H, Peso Pluma",A Tu Manera
Bob Marley & The Wailers,Could You Be Loved
Creedence Clearwater Revival,Fortunate Son
SZA,Saturn
Beat Record,Standing Next to You - Sped Up - Remix
LE SSERAFIM,EASY
Bryson Tiller,Whatever She Wants
LE SSERAFIM,Smart
Selena Gomez,Love On
"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album"""
Frank Ocean,Thinkin Bout You
"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad)
"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus]
Harry Styles,Watermelon Sugar
Linkin Park,Numb
Fuerza Regida,TÚ NAME
"French Montana, Swae Lee",Unforgettable
Joost,Europapa
Lazza,100 MESSAGGI
Miley Cyrus,Angels Like You
Bill Withers,Ain't No Sunshine
Ariana Grande,we can't be friends (wait for your love)
Ariana Grande,the boy is mine
Ariana Grande,bye
Ariana Grande,eternal sunshine
Ariana Grande,supernatural
Ariana Grande,don't wanna break up again
Ariana Grande,true story
Ariana Grande,intro (end of the world)
Ariana Grande,i wish i hated you
Ariana Grande,imperfect for you
Ariana Grande,Saturn Returns Interlude
"Ariana Grande, Nonna",ordinary things (feat. Nonna)
"Natanael Cano, Oscar Maydon",Madonna
"4batz, Drake",act ii: date @ 8 (feat. Drake) - remix
Dasha,Austin (Boots Stop Workin')
Madison Beer,make you mine
Junior H,ROCKSTAR
Sia,Unstoppable
The Neighbourhood,Softcore
"Oscar Maydon, Gabito Ballesteros, Chino Pacas",Elvira
V,FRI(END)S
Zeynep Bastık,Lan
AC/DC,Highway to Hell
"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean)
Artemas,if u think i'm pretty
"Future, Metro Boomin, Kendrick Lamar",Like That
Hozier,Too Sweet
"Future, Metro Boomin, Travis Scott, Playboi Carti",Type Shit
Artemas,i like the way you kiss me
"Future, Metro Boomin, Travis Scott",Cinderella
Olivia Rodrigo,obsessed
"Future, Metro Boomin",We Don't Trust You
"Future, Metro Boomin, The Weeknd",Young Metro
Xavi,Corazón de Piedra
"Peso Pluma, Tito Double P, Joel De La P",LA PEOPLE II
"Future, Metro Boomin",Ice Attack
Benson Boone,Slow It Down
Olivia Rodrigo,so american
"Future, Metro Boomin",Slimed In
"Future, Metro Boomin",Claustrophobic
"Future, Metro Boomin",Magic Don Juan (Princess Diana)
"Future, Metro Boomin",Runnin Outta Time
"Shakira, Cardi B",Puntería
"Future, Metro Boomin",Fried (She a Vibe)
"Future, Metro Boomin, Rick Ross",Everyday Hustle
CYRIL,Stumblin' In
ILLIT,Magnetic
"Beyoncé, Miley Cyrus",II MOST WANTED
Beyoncé,JOLENE
Beyoncé,BODYGUARD
"Beyoncé, Post Malone",LEVII'S JEANS
Beyoncé,AMERIICAN REQUIEM
"Beyoncé, Tanner Adell, Brittney Spencer, Tiera Kennedy, Reyna Roberts",BLACKBIIRD
Beyoncé,DAUGHTER
"Beyoncé, Linda Martell, Shaboozey",SPAGHETTII
Beyoncé,16 CARRIAGES
Beyoncé,YA YA
Mark Ambor,Belong Together
"Camila Cabello, Playboi Carti",I LUV IT (feat. Playboi Carti)
"j-hope, Gaeko, YOON MIRAE",NEURON (with Gaeko & YOON MIRAE)
"Beyoncé, Rumi Carter",PROTECTOR
G-Eazy,Lady Killers II
Beyoncé,ALLIIGATOR TEARS
Beyoncé,MY ROSE
"Beyoncé, Dolly Parton",TYRANT
"Beyoncé, Willie Nelson",SMOKE HOUR ★ WILLIE NELSON
"Beyoncé, Willie Jones",JUST FOR FUN
Beyoncé,RIIVERDANCE
Beyoncé,FLAMENCO
"The Academy: Segunda Misión, Sech, Justin Quiles, Lenny Tavárez, Dalex, Dímelo Flow, Myke Towers",LA RANGER (feat. Myke Towers)
Henry Moodie,drunk text
"Gabito Ballesteros, Natanael Cano",El Boss
Jungle,Back On 74
Beyoncé,II HANDS II HEAVEN
"Bizarrap, Natanael Cano","Natanael Cano: Bzrp Music Sessions, Vol. 59/66"
J. Cole,7 Minute Drill
"Bizarrap, Natanael Cano",Entre las de 20
Bryson Tiller,Whatever She Wants [BONUS]
J. Cole,Crocodile Tearz
BABYMONSTER,SHEESH
"J. Cole, Bas, Central Cee",H.Y.B. (feat. Bas & Central Cee)
"Tiago PZK, Ke Personajes",Piel
Benson Boone,Cry
Billie Eilish,hotline (edit)
Dominic Fike,Babydoll
Foster The People,Pumped Up Kicks
Isabel LaRosa,Favorite
J. Cole,Huntin’ Wabbitz
Beach Weather,"Sex, Drugs, Etc."
d4vd,Feel It (From “Invincible”)
"J. Cole, Ari Lennox, Young Dro, Gucci Mane","Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)"
Fuerza Regida,SABOR FRESA
TOMORROW X TOGETHER,Deja Vu
"Earth, Wind & Fire",September
Noah Cyrus,July
Sabrina Carpenter,Espresso
Dua Lipa,Illusion
"Future, Metro Boomin, The Weeknd",We Still Don't Trust You
"Jaxomy, Agatino Romero, Raffaella Carrà",Pedro
Lay Bankz,Tell Ur Girlfriend
Chappell Roan,"Good Luck, Babe!"
"Disturbed, CYRIL",The Sound of Silence - CYRIL Remix
"David Guetta, OneRepublic",I Don't Wanna Wait
"DJ JZ, Humberto & Ronaldo, Mc Mininin, DJ LG PROD, Silvanno Salles",Mtg Quero Te Encontrar
Shaboozey,A Bar Song (Tipsy)
"Luis R Conriquez, Neton Vega",Si No Quieres No
"iZaak, JHAYCO, Anuel AA",BBY BOO - REMIX
"Bakar, Summer Walker",Hell N Back (feat. Summer Walker)
"Young Miko, Feid",offline
"Tyla, Gunna, Skillibeng",Jump
Bruno Mars,Talking to the Moon
"Taylor Swift, Post Malone",Fortnight (feat. Post Malone)
Taylor Swift,Down Bad
Taylor Swift,"So Long, London"
Taylor Swift,I Can Do It With a Broken Heart
Taylor Swift,The Tortured Poets Department
Taylor Swift,My Boy Only Breaks His Favorite Toys
Taylor Swift,But Daddy I Love Him
"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine)
Taylor Swift,Who’s Afraid of Little Old Me?
Taylor Swift,Guilty as Sin?
Taylor Swift,Fresh Out The Slammer
Taylor Swift,loml
Taylor Swift,The Smallest Man Who Ever Lived
Taylor Swift,The Alchemy
Taylor Swift,I Can Fix Him (No Really I Can)
Taylor Swift,Clara Bow
Taylor Swift,The Black Dog
Drake,Push Ups
Taylor Swift,imgonnagetyouback
Taylor Swift,So High School
Taylor Swift,thanK you aIMee
Taylor Swift,The Albatross
Taylor Swift,The Prophecy
Taylor Swift,How Did It End?
Taylor Swift,Chloe or Sam or Sophia or Marcus
Taylor Swift,I Hate It Here
"Rvssian, Rauw Alejandro, Ayra Starr",Santa
Taylor Swift,I Look in People's Windows
Taylor Swift,Peter
Taylor Swift,Cassandra
Taylor Swift,The Bolter
Taylor Swift,The Manuscript
Taylor Swift,Robin
"Bhavi, Seven Kayne, Milo j, Tiago PZK, KHEA, Neo Pistea","BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix"
"Sevdaliza, Villano Antillano, Tokischa","Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)"
Felipe e Rodrigo,Gosta De Rua - Ao Vivo
"Myke Towers, Bad Bunny",ADIVINO
Kendrick Lamar,euphoria
Tommy Richman,MILLION DOLLAR BABY
Reynmen,Renklensin
"ZICO, JENNIE",SPOT!
"Rels B, Junior H",Un Desperdicio
"Rels B, Lia Kali",La Vida Sin Ti
"AYLIVA, Apache 207",Wunder
Gustavo Moura & Rafael,Digitando
Yeat,If We Being Rëal
MUSIC LAB JPN,Danza Kuduro - Cover
A$AP Rocky,Sundress
"Belinda, Natanael Cano",300 Noches
SZA,Nobody Gets Me
The Outfield,Your Love
WALK THE MOON,Shut Up and Dance
Kendrick Lamar,Not Like Us
Drake,Family Matters
Kendrick Lamar,meet the grahams
Dua Lipa,These Walls
Kendrick Lamar,HUMBLE.
Tommy Richman,MILLION DOLLAR BABY (VHS)
Bayhan,Tiryakinim
Journey,Don't Stop Believin' (2022 Remaster)
Daya,Hide Away
Sexyy Red,Get It Sexyy
Amy Winehouse,Back To Black
"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen)
Nemo,The Code
Myles Smith,Stargazing
RM,Come back to me
"Peso Pluma, Junior H, Eslabon Armado",LA DURANGO
Baby Lasagna,Rim Tim Tagi Dim
Slimane,Mon amour
Gunna,one of wun
XXXTENTACION,Revenge
The White Stripes,Seven Nation Army
"Stray Kids, Charlie Puth",Lose My Breath (Feat. Charlie Puth)
"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer)
"SAIKO, JC Reyes, Dei V",BADGYAL
Billie Eilish,LUNCH
Billie Eilish,CHIHIRO
Billie Eilish,BIRDS OF A FEATHER
Billie Eilish,WILDFLOWER
Billie Eilish,SKINNY
Billie Eilish,BLUE
Billie Eilish,L’AMOUR DE MA VIE
Billie Eilish,THE GREATEST
Billie Eilish,THE DINER
Billie Eilish,BITTERSUITE
aespa,Supernova
"Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")"
Lithe,Fall Back
Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album)
Natanael Cano,Ya Te Olvide
"DJ TOPO, Seu Jorge, Mc Leozin, MC G15",MTG QUEM NÃO QUER SOU EU
"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia",THE BOX MEDLEY FUNK 2
"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby)
Zach Bryan,Pink Skies
RM,LOST!
NewJeans,How Sweet
Cris MJ,SI NO ES CONTIGO
"Alvaro Diaz, Feid",GATITAS SANDUNGUERAS - VOL.1
Michael Jackson,Billie Jean
TOTO,Africa
Eminem,Houdini
aespa,Armageddon
"Oscar Maydon, Junior H",Volver Al Futuro
"FloyyMenor, Lewis Somes",APAGA EL CEL
"Coolio, L.V.",Gangsta's Paradise
Calvin Harris,Summer
Trueno,REAL GANGSTA LOVE
"Akon, Eminem",Smack That
Sabrina Carpenter,Please Please Please
Jung Kook,Never Let Go
Gracie Abrams,Close To You
Feid,SORRY 4 THAT MUCH
Tinashe,Nasty
Grupo Firme,El Beneficio De La Duda
Charli xcx,360
"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?"
"dj sv, Doug Hits, Manim Vaqueiro",Mtg Forró e Desmantelo
"Morgan Wallen, ERNEST",Cowgirls
Chappell Roan,Red Wine Supernova
Chappell Roan,HOT TO GO!
Tommy Richman,DEVIL IS A LIE
"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move
Maki,Dilaw
"Luísa Sonza, KayBlack",Sagrado Profano
Luke Combs,The Man He Sees in Me
AC/DC,You Shook Me All Night Long
KAROL G,Si Antes Te Hubiera Conocido
"Post Malone, Blake Shelton",Pour Me A Drink (Feat. Blake Shelton)
"Gracie Abrams, Taylor Swift",us. (feat. Taylor Swift)
"Mustard, Travis Scott",Parking Lot
"Peso Pluma, Natanael Cano, Gabito Ballesteros",VINO TINTO
Coldplay,feelslikeimfallinginlove - Single Version
"Charli xcx, Lorde","Girl, so confusing featuring lorde"
The Kid LAROI,NIGHTS LIKE THIS
Jordan Adetunji,KEHLANI
TOTO,Hold the Line
Dua Lipa,Don't Start Now
Train,"Hey, Soul Sister"
"Peso Pluma, Neton Vega",LA PATRULLA
"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made of This) - 2005 Remaster
"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco)
LISA,Rockstar
The Kid LAROI,GIRLS
"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult)
"Blessd, Ovy On The Drums",Mírame
Chappell Roan,Pink Pony Club
Travis Scott,BUTTERFLY EFFECT
AC/DC,Thunderstruck
"Quavo, Lana Del Rey",Tough
Morgan Wallen,Lies Lies Lies
"Eminem, Big Sean, BabyTron",Tobey (feat. Big Sean and BabyTron)
Zach Bryan,28
"Megan Thee Stallion, Yuki Chiba",Mamushi (feat. Yuki Chiba)
Karan Aujla,"Tauba Tauba (From ""Bad Newz"")"
Dominic Fike,misses
"Lost Frequencies, Calum Scott",Where Are You Now
Eminem,Renaissance
"Eminem, White Gold",Habits
Eminem,Brand New Dance
"Eminem, JID",Fuel
Eminem,Trouble
Eminem,Evil
"Ice Spice, Central Cee",Did It First (with Central Cee)
"Eminem, Sly Pyper",Lucifer
"Eminem, Jelly Roll",Somebody Save Me
Eminem,Antichrist
Eminem,Guilty Conscience 2
"Eminem, Skylar Grey",Temporary
"Eminem, Dem Jointz, Sly Pyper",Road Rage
"Eminem, Ez Mil",Head Honcho
"Natanael Cano, Oscar Maydon",Giza
"Gorillaz, De La Soul",Feel Good Inc.
"Big One, Maria Becerra, Trueno",Cuando Te Vi | CROSSOVER #5
"Eminem, White Gold",Bad One
"Calvin Harris, Rihanna",This Is What You Came For
Jimin,Who
Stray Kids,Chk Chk Boom
Lomiiel,HAY LUPITA
Kapo,OHNANA
Jimin,Be Mine
Charli xcx,Apple
"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson)
Jimin,Rebirth (Intro)
"Dionela, Jay R",sining (feat. Jay R)
Alphaville,Forever Young
Chappell Roan,Casual
"Boza, ELENA ROSE",orióN
"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez)
*NSYNC,Bye Bye Bye
"Post Malone, Luke Combs",Guy For That (Feat. Luke Combs)
"Hanumankind, Kalmi",Big Dawgs
"Peso Pluma, Kenia Os",TOMMY & PAMELA
Travis Scott,HIGHEST IN THE ROOM
"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun)
Backstreet Boys,I Want It That Way
"Gordo, Drake",Sideways
"Charli xcx, Billie Eilish",Guess featuring billie eilish
"¥$, Kanye West, Ty Dolla $ign",FIELD TRIP
Gracie Abrams,"I Love You, I'm Sorry"
Adele,Easy On Me
La Oreja de Van Gogh,Rosas
"¥$, Kanye West, Ty Dolla $ign",FRIED
"¥$, Kanye West, Ty Dolla $ign",SLIDE
Adele,Someone Like You
"¥$, Kanye West, Ty Dolla $ign",PROMOTION
Kings of Leon,Sex on Fire
Grelo,Só Fé
Fuerza Regida,NEL
Sal Priadi,Gala bunga matahari
Shawn Mendes,Why Why Why
"Drake, Young Thug, 21 Savage",It's Up (feat. Young Thug & 21 Savage)
Bernadya,Satu Bulan
Chappell Roan,Femininomenon
FloyyMenor,PELIGROSA
"Lady Gaga, Bruno Mars",Die With A Smile
"LISA, ROSALÍA",New Woman (feat. ROSALÍA)
"Post Malone, Tim McGraw",Wrong Ones (Feat. Tim McGraw)
"Peso Pluma, Tito Double P",LOS CUADROS
Gigi Perez,Sailor Song
"P!nk, Nate Ruess",Just Give Me a Reason (feat. Nate Ruess)
Post Malone,What Don't Belong To Me
Kapo,UWAIE
"Post Malone, Chris Stapleton",California Sober (Feat. Chris Stapleton)
Adele,Rolling in the Deep
Sabrina Carpenter,Taste
Sabrina Carpenter,Good Graces
Sabrina Carpenter,Bed Chem
Sabrina Carpenter,Juno
Sabrina Carpenter,Sharpest Tool
Sabrina Carpenter,Coincidence
